corp_code,stock_code,corp_name,listed_name,corp_eng_name,market,industry,sector_no,sector,listing_date,fiscal_month,market_cap,n_periodic,n_major,n_exchange,n_holding,note
00126380,005930,삼성전자,삼성전자,"SAMSUNG ELECTRONICS CO,.LTD",KOSPI,IT,1,반도체·전자부품,1975-06-11,12월,14586465,13,19,2,66,
00164779,000660,SK하이닉스,SK하이닉스,SK hynix Inc.,KOSPI,IT,1,반도체·전자부품,1996-12-26,12월,12536435,13,19,4,14,
00126371,009150,삼성전기,삼성전기,"SAMSUNG ELECTRO-MECHANICS CO.,LTD",KOSPI,IT,1,반도체·전자부품,1979-02-27,12월,990438,14,0,0,6,
00161383,042700,한미반도체,한미반도체,"HANMI Semiconductor CO., LTD.",KOSPI,IT,1,반도체·전자부품,2005-07-22,12월,190624,13,14,16,17,
00105961,011070,LG이노텍,LG이노텍,"LG INNOTEK CO., LTD.",KOSPI,IT,1,반도체·전자부품,2008-07-24,12월,147919,17,0,3,15,
00164742,005380,현대자동차,현대차,HYUNDAI MOTOR CO,KOSPI,경기관련소비재,2,자동차·모빌리티,1974-06-28,12월,821079,13,12,0,12,
00106641,000270,기아,기아,KIA CORPORATION,KOSPI,경기관련소비재,2,자동차·모빌리티,1973-07-21,12월,509489,15,11,0,4,
00164788,012330,현대모비스,현대모비스,"HYUNDAI MOBIS CO.,LTD",KOSPI,경기관련소비재,2,자동차·모빌리티,1989-09-05,12월,437331,14,11,0,9,
00362441,307950,현대오토에버,현대오토에버,HYUNDAI AUTOEVER CORPORATION.,KOSPI,IT,2,자동차·모빌리티,2019-03-28,12월,103937,14,2,4,9,
01261644,277810,레인보우로보틱스,레인보우로보틱스,Rainbow Robotics,KOSDAQ,산업재,3,로봇,2021-02-03,12월,81188,14,1,13,10,
01105153,454910,두산로보틱스,두산로보틱스,Doosan Robotics Inc.,KOSPI,산업재,3,로봇,2023-10-05,12월,41939,11,14,1,8,
01515323,373220,LG에너지솔루션,LG에너지솔루션,"LG ENERGY SOLUTION, LTD.",KOSPI,산업재,4,2차전지,2022-01-27,12월,771030,13,0,21,6,
00126362,006400,삼성SDI,삼성SDI,"SAMSUNG SDI CO.,LTD",KOSPI,산업재,4,2차전지,1979-02-27,12월,344906,13,5,4,3,
